B - Bucureşti
AB -  Alba
AG -  Argeş
AR -  Arad
BC -  Bacău
BH -  Bihor
BN -  Bistriţa-Năsăud
BR -  Brăila
BT -  Botoşani
BV -  Braşov
BZ -  Buzău
CJ -  Cluj
CL -  Călăraşi
CS -  Caraş-Severin
CT -  Constanţa
CV -  Covasna
DB -  Dâmboviţa
DJ -  Dolj
GJ -  Gorj
GL -  Galaţi
GR -  Giurgiu
HD -  Hunedoara
HR -  Harghita
IF -  Ilfov
IL -  Ialomiţa
IS -  Iaşi
MH -  Mehedinţi
MM -  Maramureş
MS -  Mureş
NT -  Neamţ
OT -  Olt
PH -  Prahova
SB -  Sibiu
SJ -  Sălaj
SM -  Satu-Mare
SV -  Suceava
TL -  Tulcea
TM -  Timiş
TR -  Teleorman
VL -  Vâlcea
VN -  Vrancea
VS -  Vaslui
